mainCatCode,mean,std,count
sportswear_men_activity_hiking_accessories,0.0,0.0,4
ladies_accessories_sunglasses,0.0,0.0,27
ladies_accessories_jewellery_rings,0.0,0.0,4
ladies_accessories_jewellery_earrings,0.0,0.0,40
ladies_accessories_jewellery_bracelets,0.0,0.0,9
