mainCatCode,mean,std,count
sportswear_men_clothing_tops_longsleeve,23.0,,1
ladies_premium_selection_dresses,20.7,0.0,3
ladies_accessories_bags_phonebags,16.4375,9.929700817916588,4
ladies_premium_selection_accessories,16.088325173398612,7.193689346427902,38
ladies_premium_selection_shoes,14.460068493150686,4.724385896783308,73
